deltaT,dairy_network,no_of_reachable_nodes
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_481.network,1254
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_481.network,1599
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_481.network,2225
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_481.network,2552
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_482.network,2
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_482.network,385
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_482.network,1224
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_482.network,1808
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_482.network,2457
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_482.network,2938
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_483.network,4
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_483.network,48
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_483.network,1129
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_483.network,1521
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_483.network,1794
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_483.network,2011
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_484.network,9
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_484.network,91
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_484.network,1634
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_484.network,2261
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_484.network,3030
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_484.network,3535
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_485.network,4
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_485.network,8
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_485.network,15
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_485.network,1562
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_485.network,2086
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_485.network,2389
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_486.network,2
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_486.network,3
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_486.network,4
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_486.network,7
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_486.network,10
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_486.network,223
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_487.network,12
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_487.network,49
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_487.network,676
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_487.network,1301
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_487.network,1806
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_487.network,2206
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_488.network,3
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_488.network,4
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_488.network,1510
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_488.network,1692
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_488.network,1915
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_488.network,2251
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_489.network,3
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_489.network,5
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_489.network,2067
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_489.network,2817
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_489.network,3141
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_489.network,3465
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_490.network,2
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_490.network,4
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_490.network,1287
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_490.network,1911
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_490.network,2515
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_490.network,2885
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_491.network,6
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_491.network,18
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_491.network,1076
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_491.network,1515
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_491.network,2194
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_491.network,2644
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_492.network,8
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_492.network,89
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_492.network,405
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_492.network,1318
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_492.network,2028
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_492.network,2582
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_493.network,3
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_493.network,23
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_493.network,1596
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_493.network,2483
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_493.network,2876
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_493.network,3253
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_494.network,5
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_494.network,11
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_494.network,19
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_494.network,2162
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_494.network,2656
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_494.network,3104
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_495.network,4
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_495.network,7
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_495.network,17
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_495.network,214
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_495.network,1046
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_495.network,2323
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_496.network,1
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_496.network,2
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_496.network,6
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_496.network,2306
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_496.network,2736
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_496.network,3001
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_497.network,3
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_497.network,4
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_497.network,9
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_497.network,16
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_497.network,1143
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_497.network,1457
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_498.network,2
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_498.network,4
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_498.network,5
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_498.network,810
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_498.network,2036
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_498.network,2349
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_499.network,2
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_499.network,2
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_499.network,4
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_499.network,6
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_499.network,1948
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_499.network,2252
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_500.network,2
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_500.network,8
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_500.network,1466
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_500.network,1881
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_500.network,2138
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_500.network,2458
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_501.network,10
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_501.network,13
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_501.network,1508
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_501.network,2904
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_501.network,3346
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_501.network,3764
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_502.network,11
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_502.network,20
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_502.network,689
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_502.network,1407
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_502.network,1743
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_502.network,2017
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_503.network,2
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_503.network,2
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_503.network,2
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_503.network,1848
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_503.network,2106
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_503.network,2362
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_504.network,14
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_504.network,23
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_504.network,1672
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_504.network,2180
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_504.network,2724
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_504.network,3146
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_505.network,3
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_505.network,13
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_505.network,18
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_505.network,1373
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_505.network,2015
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_505.network,2298
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_506.network,2
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_506.network,3
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_506.network,382
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_506.network,1058
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_506.network,1738
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_506.network,2122
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_507.network,3
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_507.network,4
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_507.network,1647
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_507.network,2305
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_507.network,2841
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_507.network,3266
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_508.network,1
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_508.network,3
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_508.network,466
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_508.network,1290
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_508.network,1740
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_508.network,1981
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_509.network,5
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_509.network,8
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_509.network,1659
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_509.network,2120
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_509.network,2503
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_509.network,2800
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_510.network,2
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_510.network,11
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_510.network,1145
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_510.network,1300
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_510.network,1720
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_510.network,2002
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_511.network,5
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_511.network,29
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_511.network,1565
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_511.network,2319
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_511.network,2848
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_511.network,3123
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_512.network,13
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_512.network,44
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_512.network,946
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_512.network,1679
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_512.network,2131
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_512.network,2615
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_513.network,1
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_513.network,3
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_513.network,1139
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_513.network,1611
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_513.network,2138
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_513.network,2383
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_514.network,5
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_514.network,19
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_514.network,1771
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_514.network,2173
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_514.network,2861
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_514.network,3171
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_515.network,2
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_515.network,5
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_515.network,1472
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_515.network,1768
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_515.network,2070
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_515.network,2328
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_516.network,1
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_516.network,1
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_516.network,1
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_516.network,1165
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_516.network,1455
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_516.network,1718
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_517.network,1
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_517.network,3
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_517.network,5
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_517.network,1319
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_517.network,1532
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_517.network,1684
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_518.network,5
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_518.network,6
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_518.network,1566
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_518.network,2384
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_518.network,2654
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_518.network,2881
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_519.network,1
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_519.network,22
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_519.network,1116
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_519.network,1505
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_519.network,1895
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_519.network,2259
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_520.network,6
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_520.network,12
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_520.network,1144
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_520.network,1667
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_520.network,2347
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_520.network,2817
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_521.network,4
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_521.network,7
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_521.network,1057
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_521.network,1251
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_521.network,2307
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_521.network,2672
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_522.network,4
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_522.network,36
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_522.network,1182
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_522.network,1791
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_522.network,2125
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_522.network,2313
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_523.network,3
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_523.network,70
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_523.network,1039
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_523.network,1546
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_523.network,1873
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_523.network,2238
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_524.network,4
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_524.network,6
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_524.network,6
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_524.network,1784
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_524.network,2013
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_524.network,2198
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_525.network,44
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_525.network,1137
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_525.network,1533
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_525.network,2078
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_525.network,2528
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_525.network,3165
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_526.network,2
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_526.network,6
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_526.network,9
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_526.network,1569
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_526.network,1859
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_526.network,2228
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_527.network,10
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_527.network,77
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_527.network,243
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_527.network,1094
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_527.network,1653
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_527.network,2108
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_528.network,3
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_528.network,3
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_528.network,4
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_528.network,93
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_528.network,136
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_528.network,1357
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_529.network,8
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_529.network,92
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_529.network,1340
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_529.network,2206
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_529.network,2695
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_529.network,3129
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_530.network,1
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_530.network,3
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_530.network,11
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_530.network,1290
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_530.network,1561
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_530.network,1692
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_531.network,2
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_531.network,2
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_531.network,11
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_531.network,1205
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_531.network,1392
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_531.network,1675
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_532.network,1
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_532.network,3
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_532.network,533
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_532.network,689
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_532.network,1967
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_532.network,2242
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_533.network,10
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_533.network,18
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_533.network,1277
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_533.network,1923
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_533.network,2486
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_533.network,2832
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_534.network,2
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_534.network,5
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_534.network,8
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_534.network,10
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_534.network,15
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_534.network,1769
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_535.network,6
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_535.network,47
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_535.network,1716
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_535.network,2208
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_535.network,2834
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_535.network,3277
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_536.network,22
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_536.network,138
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_536.network,1031
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_536.network,1619
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_536.network,2044
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_536.network,2487
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_537.network,1
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_537.network,2
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_537.network,22
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_537.network,81
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_537.network,338
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_537.network,754
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_538.network,16
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_538.network,1349
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_538.network,2008
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_538.network,2499
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_538.network,3058
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_538.network,3497
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_539.network,9
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_539.network,21
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_539.network,1691
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_539.network,2256
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_539.network,2812
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_539.network,3253
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_540.network,1
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_540.network,2
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_540.network,7
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_540.network,2446
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_540.network,2843
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_540.network,3089
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_541.network,1
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_541.network,3
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_541.network,5
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_541.network,1829
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_541.network,2199
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_541.network,2496
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_542.network,4
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_542.network,5
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_542.network,20
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_542.network,606
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_542.network,1488
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_542.network,1714
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_543.network,1
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_543.network,3
