deltaT,dairy_network,no_of_reachable_nodes
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_46.network,31
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_46.network,84
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_46.network,1279
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_46.network,1852
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_46.network,2386
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_47.network,1
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_47.network,8
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_47.network,15
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_47.network,2100
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_47.network,2386
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_47.network,2625
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_48.network,10
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_48.network,38
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_48.network,858
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_48.network,1463
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_48.network,2241
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_48.network,2479
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_49.network,1
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_49.network,2
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_49.network,1144
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_49.network,1641
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_49.network,2068
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_49.network,2297
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_50.network,4
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_50.network,31
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_50.network,1422
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_50.network,1809
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_50.network,2478
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_50.network,2777
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_51.network,3
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_51.network,6
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_51.network,16
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_51.network,27
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_51.network,391
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_51.network,1129
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_52.network,6
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_52.network,43
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_52.network,1305
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_52.network,1849
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_52.network,2287
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_52.network,2654
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_53.network,36
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_53.network,141
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_53.network,1910
