state,month,indeg,outdeg,pagerank
MI,June,165,91,0.05653846306776941
FL,June,94,77,0.026696028057768616
IN,June,173,103,0.06037136543534821
OH,June,170,90,0.05695303924888936
VT,June,85,58,0.01828552864671688
CO,June,67,75,0.016777159160874328
NM,June,63,23,0.01587765648434559
SD,June,64,58,0.010970856070217656
AZ,June,67,39,0.021120283873022713
IL,June,86,27,0.020138691749966197
OK,June,14,64,0.004792726645170064
MO,June,66,49,0.014133310370774742
NE,June,42,28,0.012039548108115956
GA,June,37,42,0.011398785189671922
KY,June,50,32,0.016713215528794203
MA,June,19,0,0.00567111882979408
MD,June,33,24,0.010987582097392258
CT,June,18,11,0.006193740092101364
UT,June,24,35,0.006864606866504776
ND,June,9,30,0.005047456729424056
VA,June,14,41,0.005619937648533746
OR,June,12,23,0.005805767619442171
TN,June,11,52,0.005024988374388073
AR,June,1,14,0.0039112295798370235
NC,June,9,15,0.005482566946812092
SC,June,3,12,0.004238283268583148
MT,June,4,10,0.005133073303043956
NV,June,3,4,0.0037857053900490203
WV,June,0,8,0.003673761970931488
NJ,June,2,4,0.003740984307498287
